Code,State,Healthcare,Education,Welfare,PublicTransport,Sustainability,Mental Health,Military Expenditure
1,New South Wales,15.2,13,5.41,7.2,0.8,1.52,19.788
2,Victoria,12.881,11.6,4.5,6.56,0.7,1.28,17.98
3,Queensland,11.25,10.25,4.1,5.61,0.65,1.125,17.52
4,South Australia,5.9,5.2,2.5,3.22,0.4,0.59,9.335
5,Western Australia,7.32,6.7,3.36,4.4,0.5,0.73,12.11
6,Tasmania,2.12,1.88,0.9,1.37,0.2,0.2,10.21
7,Northern Territory,1.365,1.193,0.6,0.75,0.1,0.13,11.8
8,Australian Capital Territory,0.951,0.88,0.4,0.522,0.09,0.096,15.57
